lean	ocaml	recursive	Code.let	Code.fun	Code.jp	Code.jmp	Code.cases	Code.return	Code.unreach	LetValue.lit	LetValue.erased	LetValue.proj	LetValue.const	LetValue.fvar	LitValue.nat	LitValue.str	LitValue.uint8	LitValue.uint16	LitValue.uint32	LitValue.uint64	LitValue.usize	Arg.erased	Arg.fvar	Arg.type	Alt.alt	Alt.default	DeclValue.code	DeclValue.extern	declHash
Effect4.Machine.actionOf	action_of	false	31	0	0	0	1	22	0	0	0	0	31	0	0	0	0	0	0	0	0	200	37	0	22	0	1	0	9072783986700437728
Effect4.Program.embedAction	program_embed_action	false	31	0	0	0	1	23	0	0	0	0	31	0	0	0	0	0	0	0	0	209	36	0	23	0	1	0	14860968297398587519
Effect4.Program.resolve	program_resolve	false	5	0	0	0	3	3	0	0	0	0	5	0	0	0	0	0	0	0	0	1	5	0	3	2	1	0	7261341979395606169
Effect4.Program.resolveLayer	program_resolve_layer	false	5	0	0	0	3	3	0	0	0	0	5	0	0	0	0	0	0	0	0	1	8	0	3	2	1	0	11607604038877138060
Effect4.Machine.syncOpStep	sync_op_step	false	170	0	1	2	45	30	0	15	0	0	155	0	7	0	8	0	0	0	0	94	334	0	74	1	1	0	6435417615396454360
Effect4.Machine.DeferredStore.register	deferred_store_register	false	9	0	0	0	3	3	0	0	0	0	9	0	0	0	0	0	0	0	0	7	17	0	5	0	1	0	18156710443749917182
Effect4.Machine.TimerStore.sleep	timer_store_sleep	false	3	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	1	0	1	0	9469245757733672513
Effect4.Program.externalRow	program_external_row	false	9	0	0	0	4	4	0	0	0	0	9	0	0	0	0	0	0	0	0	3	8	0	7	0	1	0	15083291120018095328
Effect4.Program.externalAdmits	program_external_admits	false	8	0	0	0	6	5	0	0	0	0	8	0	0	0	0	0	0	0	0	0	9	0	8	2	1	0	13034168598937493547
Effect4.Machine.completionPrim	completion_prim	false	4	0	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	7	4	0	2	0	1	0	11941419879888509188
Effect4.Machine.DeferredStore.drainDue	deferred_store_drain_due	false	3	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	3	4	0	1	0	1	0	10742300352817016169
List.mapTR.loop._at_.Effect4.Program.interpOf.spec_0	list_map_tr_loop_at_program_interp_of_spec_0	true	5	0	0	0	1	2	0	0	0	0	5	0	0	0	0	0	0	0	0	1	7	0	2	0	1	0	4179964441280169228
Effect4.Machine.TimerStore.clockStep._redArg	timer_store_clock_step	false	8	0	1	2	6	2	0	0	0	0	8	0	0	0	0	0	0	0	0	6	18	0	8	0	1	0	12933771699996508445
Effect4.Machine.Owed.mapCode._redArg	owed_map_code	false	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	5	0	1	0	1	0	6690662126676402873
Effect4.Machine.raceSettleProgram	race_settle_program	false	8	0	0	0	1	2	0	0	0	0	8	0	0	0	0	0	0	0	0	14	9	0	2	0	1	0	4751250427598913116
Effect4.Program.Point.childWith	program_point_child_with	false	8	0	0	0	1	1	0	1	0	0	7	0	1	0	0	0	0	0	0	3	16	0	1	0	1	0	4724537948514711340
Effect4.Machine.finProgram	fin_program	false	39	0	0	0	4	13	0	0	0	0	39	0	0	0	0	0	0	0	0	99	45	0	16	0	1	0	5186975237059240151
Effect4.Machine.ScopeStore.status	scope_store_status	false	4	0	0	0	2	2	0	0	0	0	4	0	0	0	0	0	0	0	0	2	4	0	3	0	1	0	13587973608528675412
Effect4.Machine.ScopeStore.addFinalizer	scope_store_add_finalizer	false	8	0	0	0	3	2	0	0	0	0	8	0	0	0	0	0	0	0	0	8	14	0	4	0	1	0	1355476604413656845
List.find?._at_.Effect4.Machine.ScopeStore.entryAt.spec_0	list_find_opt_at_scope_store_entry_at_spec_0	true	4	0	0	0	3	3	0	0	0	0	4	0	0	0	0	0	0	0	0	2	5	0	5	0	1	0	11128814444115979047
Effect4.Machine.ScopeStore.removeFinalizer	scope_store_remove_finalizer	false	4	0	0	0	2	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	8	0	3	0	1	0	10133633725205480817
Effect4.Machine.storesCloseScope._redArg	stores_close_scope	false	8	0	0	0	3	3	0	0	0	0	8	0	0	0	0	0	0	0	0	14	10	0	5	0	1	0	7069527067913427647
Effect4.Prim.ofExit._redArg	prim_of_exit	false	2	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	14	2	0	2	0	1	0	16389009817197033351
Effect4.Machine.ctxImage	ctx_image	false	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	3	2	0	0	0	1	0	1220202135958188048
Effect4.Machine.Value.fiberHandle	value_fiber_handle	false	5	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	18370276275938341816
Effect4.Store.Image.list._redArg	store_image_list	false	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	5	4	0	0	0	1	0	6958140521904254051
Effect4.Program.badShape	program_bad_shape	false	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	7	2	0	0	0	1	0	3715930240904741526
Effect4.Machine.Val.context?	val__context_opt	false	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	8662259493342062632
Effect4.Machine.Ctx.withScope	ctx_with_scope	false	4	0	0	0	0	1	0	1	0	0	3	0	0	0	1	0	0	0	0	0	5	0	0	0	1	0	15000608429674761895
Effect4.Program.Point.child	program_point_child	false	6	0	0	0	1	1	0	1	0	0	5	0	1	0	0	0	0	0	0	2	12	0	1	0	1	0	16094098447165066956
Effect4.Machine.contAOf	cont_aof	false	77	0	6	23	30	21	0	7	0	0	67	3	5	0	2	0	0	0	0	148	75	0	50	17	1	0	9468266646921133931
Effect4.Program.Point.capture	program_point_capture	false	4	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	2	10	0	1	0	1	0	13641579144812640077
Effect4.Store.Val.beq	store_val__beq	true	30	0	0	0	19	30	0	0	0	0	30	0	0	0	0	0	0	0	0	0	28	0	36	12	1	0	3487890316456826916
Effect4.Program.exitOfVal	program_exit_of_val	false	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	15745066817858928315
Effect4.Program.provideLayerWithK	program_provide_layer_with_k	false	24	0	1	2	5	4	0	2	0	0	22	0	2	0	0	0	0	0	0	44	28	0	6	3	1	0	6401171261153135997
Effect4.Program.provideLayerBodyK	program_provide_layer_body_k	false	10	0	0	0	2	3	0	1	0	0	9	0	1	0	0	0	0	0	0	0	11	0	4	0	1	0	6911150412877684965
Effect4.Program.updateThenK	program_update_then_k	false	10	0	0	0	3	3	0	0	0	0	10	0	0	0	0	0	0	0	0	14	14	0	5	0	1	0	17221382547325186453
