module	original_radius38	historical_module	raw_closed	admissible_closed	total_theorems	source_path	source_sha256	olean_sha256	module_log	module_log_sha256	process_id
Effect4.Program.Profile	false		7	7	23	src/Effect4/Program/Profile.lean	d99b4b36e0e5dc146562c341aa18cd5b92f67723b7a5da1744e9b1276bbcc291	3a15865dba5e0c9c1e9f77e29f96c17e7cabbbf36d1a60441acc490fa14aaa44	before-fill/module-logs/Effect4.Program.Profile.log	06650038f85c2c7f6a8882ab48dde97380564341680aa11f198b24999be2748c	078-Effect4.Program.Profile
Effect4.Program.Typing.Agreement	false		2	2	8	src/Effect4/Program/Typing/Agreement.lean	a54f671a95ff46482b2dbc3cd08b9a4d693274d9d98bc1378435bbd619ab2972	e76dffa8ce3a132ced1f563a1d0bc051848585a20bf6d6e4238e547216b555f2	before-fill/module-logs/Effect4.Program.Typing.Agreement.log	2b56e54a696ec2b4d59848b7592039a085da55064dc6e30b777602994b022536	079-Effect4.Program.Typing.Agreement
Effect4.Run	false		0	0	0	src/Effect4/Run.lean	7319311e0acf95fad11a150d3a800a2fe6fac22a7ba3664fc0233bf117b69c70	4be4df81feb1c512c5ae59d0ec5982deb8bb710f237974c0b8b2dc11f4c2af63	before-fill/module-logs/Effect4.Run.log	6e7f1e0fa4473c88c1e45ea4dc51a18b66a3119b88003257f058fbe4ad17e968	000-ZeroCandidates
Effect4.Schema.Accepts	false		0	0	0	src/Effect4/Schema/Accepts.lean	2ed9ef52b6435a90953c1a374b3f77c73baac70e00f21d6a698211b9474d5ed2	67357373b373e76f26cf9f1df3053cd2a2969ac2de538da51bc5be70da6d326a	before-fill/module-logs/Effect4.Schema.Accepts.log	b00bf77f0e8abe67a1bea16234319cefb8cc3ee62859c663d4ac99548e8573e0	000-ZeroCandidates
Effect4.Schema.Codec	false		0	0	0	src/Effect4/Schema/Codec.lean	f8f52bfaf0ea2e85444dbbf7736452b71d7b109a0c5dff3a0467c82db89d30a4	566b764f612683954d61f536065f2557b61ed64c74b1f5b455481afe742ab874	before-fill/module-logs/Effect4.Schema.Codec.log	6b7e607637401c832c1145553b8dbd2d567a7b62ef989aaad733e24d8cbbed44	000-ZeroCandidates
Effect4.Schema.Image	false		0	0	1	src/Effect4/Schema/Image.lean	03d67481025e100a292145db3f133e630177458529900e78016285a797c401cd	41f0cd2d424eb6b287ea03812730650d32c1afc1cd4512df4d83bc3c3bcdec6c	before-fill/module-logs/Effect4.Schema.Image.log	d03ce5b18be1c707991473c3936f5bf98c670f0608995f5e4ae70aa92a16e5ec	000-ZeroCandidates
Effect4.Store.Carrier.Digest	false		0	0	21	src/Effect4/Store/Carrier/Digest.lean	3cc3373de9b78b86a19ee5091a75a2bb668a62f9875f7a78afd193027251ff5a	00802b6e10ebee4f05540372a6866161e96d8b750524c64740d1f7c5961876af	before-fill/module-logs/Effect4.Store.Carrier.Digest.log	3afd721508264ab4cef8b263e11437b0b8ab59aa39ab9576924985db538e1c02	080-Effect4.Store.Carrier.Digest
Effect4.Store.Carrier.Digits	false		3	3	20	src/Effect4/Store/Carrier/Digits.lean	148b57880824da05f322013e6ce44b13d2a2b1ff051dcb6a6006ec2a11d4ab4e	8f071cee61edb8137b1fe4a81790bb22781e95d011c35605daea15384360a687	before-fill/module-logs/Effect4.Store.Carrier.Digits.log	761af1913882914657b21038d6c9cee592bbcb43442fa796d48fc03a3df73f82	081-Effect4.Store.Carrier.Digits
Effect4.Store.Carrier.Fold	false		10	10	29	src/Effect4/Store/Carrier/Fold.lean	fbfca23d0356e144011aa38be891e4a565c0d2e7ef26784db9e2e30afe4a7197	474d480c8c39d25852cd9cdf3db8b15abe81e3d4b0e2580884248b8d80b5017f	before-fill/module-logs/Effect4.Store.Carrier.Fold.log	ebd2a2807372e12b201a3693457f9582a1aebe80910e709ce582a7c41ef02407	082-Effect4.Store.Carrier.Fold
Effect4.Store.Carrier.Image	false		1	1	24	src/Effect4/Store/Carrier/Image.lean	db57ceffaaab2a99f30b643e0f6fde44a7dee65aa0593c3db9aeb0972e0e416d	0ce35c713de9974f7425c788e9cb33cfa5ad9b844976dfa544a7fbce2f07a537	before-fill/module-logs/Effect4.Store.Carrier.Image.log	a125f22ff2e819b1c6d6a85cd5064fd6c36deafd37cdb0f496125bc70ff47f75	083-Effect4.Store.Carrier.Image
