theorem	axioms
Effect4.FrameStep.running.inj	[]
Effect4.FrameStep.running.injEq	[propext]
Effect4.FrameStep.running.sizeOf_spec	[]
Effect4.IterStep.done.inj	[]
Effect4.IterStep.done.injEq	[propext]
Effect4.IterStep.done.sizeOf_spec	[]
Effect4.IterStep.halt.inj	[]
Effect4.IterStep.halt.injEq	[propext]
Effect4.IterStep.halt.sizeOf_spec	[]
Effect4.IterStep.resume.inj	[]
Effect4.IterStep.resume.injEq	[propext]
Effect4.IterStep.resume.sizeOf_spec	[]
Effect4.LoopNext.continue.inj	[]
Effect4.LoopNext.continue.injEq	[propext]
Effect4.LoopNext.continue.sizeOf_spec	[]
Effect4.LoopNext.finish.inj	[]
Effect4.LoopNext.finish.injEq	[propext]
Effect4.LoopNext.finish.sizeOf_spec	[]
Effect4.Machine.ActionName.keys.eq_1	[propext]
Effect4.Machine.ActionName.keys.eq_10	[propext]
Effect4.Machine.ActionName.keys.eq_11	[propext]
Effect4.Machine.ActionName.keys.eq_12	[propext]
Effect4.Machine.ActionName.keys.eq_13	[propext]
Effect4.Machine.ActionName.keys.eq_14	[propext]
Effect4.Machine.ActionName.keys.eq_15	[propext]
Effect4.Machine.ActionName.keys.eq_16	[propext]
Effect4.Machine.ActionName.keys.eq_17	[propext]
Effect4.Machine.ActionName.keys.eq_18	[propext]
Effect4.Machine.ActionName.keys.eq_19	[propext]
Effect4.Machine.ActionName.keys.eq_2	[propext]
Effect4.Machine.ActionName.keys.eq_20	[propext]
Effect4.Machine.ActionName.keys.eq_21	[propext]
Effect4.Machine.ActionName.keys.eq_22	[propext]
Effect4.Machine.ActionName.keys.eq_3	[propext]
Effect4.Machine.ActionName.keys.eq_4	[propext]
Effect4.Machine.ActionName.keys.eq_5	[propext]
Effect4.Machine.ActionName.keys.eq_6	[propext]
Effect4.Machine.ActionName.keys.eq_7	[propext]
Effect4.Machine.ActionName.keys.eq_8	[propext]
Effect4.Machine.ActionName.keys.eq_9	[propext]
Effect4.Machine.Bucket.mk.inj	[]
Effect4.Machine.Bucket.mk.injEq	[propext]
Effect4.Machine.Bucket.mk.sizeOf_spec	[]
Effect4.Machine.Cmd.afterInterrupt.inj	[]
Effect4.Machine.Cmd.afterInterrupt.injEq	[propext]
Effect4.Machine.Cmd.afterInterrupt.sizeOf_spec	[]
Effect4.Machine.Cmd.closeParAwait.inj	[]
Effect4.Machine.Cmd.closeParAwait.injEq	[propext]
Effect4.Machine.Cmd.closeParAwait.sizeOf_spec	[]
Effect4.Machine.Cmd.deliver.inj	[]
Effect4.Machine.Cmd.deliver.injEq	[propext]
Effect4.Machine.Cmd.deliver.sizeOf_spec	[]
Effect4.Machine.Cmd.drainDue.sizeOf_spec	[]
Effect4.Machine.Cmd.enrollRace.inj	[]
Effect4.Machine.Cmd.enrollRace.injEq	[propext]
Effect4.Machine.Cmd.enrollRace.sizeOf_spec	[]
Effect4.Machine.Cmd.evaluate.inj	[]
Effect4.Machine.Cmd.evaluate.injEq	[propext]
Effect4.Machine.Cmd.evaluate.sizeOf_spec	[]
Effect4.Machine.Cmd.exitDone.inj	[]
Effect4.Machine.Cmd.exitDone.injEq	[propext]
Effect4.Machine.Cmd.exitDone.sizeOf_spec	[]
Effect4.Machine.Cmd.finish.inj	[]
Effect4.Machine.Cmd.finish.injEq	[propext]
Effect4.Machine.Cmd.finish.sizeOf_spec	[]
Effect4.Machine.Cmd.interruptTarget.inj	[]
Effect4.Machine.Cmd.interruptTarget.injEq	[propext]
Effect4.Machine.Cmd.interruptTarget.sizeOf_spec	[]
Effect4.Machine.Cmd.keys._sparseCasesOn_1.else_eq	[propext]
Effect4.Machine.Cmd.keys.eq_1	[propext]
Effect4.Machine.Cmd.keys.eq_10	[propext]
Effect4.Machine.Cmd.keys.eq_11	[propext]
Effect4.Machine.Cmd.keys.eq_2	[propext]
Effect4.Machine.Cmd.keys.eq_3	[propext]
Effect4.Machine.Cmd.keys.eq_4	[propext]
Effect4.Machine.Cmd.keys.eq_5	[propext]
Effect4.Machine.Cmd.keys.eq_6	[propext]
Effect4.Machine.Cmd.keys.eq_7	[propext]
Effect4.Machine.Cmd.keys.eq_8	[propext]
Effect4.Machine.Cmd.keys.eq_9	[propext]
Effect4.Machine.Cmd.launch.inj	[]
Effect4.Machine.Cmd.launch.injEq	[propext]
Effect4.Machine.Cmd.launch.sizeOf_spec	[]
Effect4.Machine.Cmd.link.inj	[]
Effect4.Machine.Cmd.link.injEq	[propext]
Effect4.Machine.Cmd.link.sizeOf_spec	[]
Effect4.Machine.Cmd.loop.inj	[]
Effect4.Machine.Cmd.loop.injEq	[propext]
Effect4.Machine.Cmd.loop.sizeOf_spec	[]
Effect4.Machine.Cmd.observe.inj	[]
Effect4.Machine.Cmd.observe.injEq	[propext]
Effect4.Machine.Cmd.observe.sizeOf_spec	[]
Effect4.Machine.Cmd.raceCancel.inj	[]
Effect4.Machine.Cmd.raceCancel.injEq	[propext]
Effect4.Machine.Cmd.raceCancel.sizeOf_spec	[]
Effect4.Machine.Cmd.registrationDone.inj	[]
Effect4.Machine.Cmd.registrationDone.injEq	[propext]
Effect4.Machine.Cmd.registrationDone.sizeOf_spec	[]
Effect4.Machine.Cmd.resume.inj	[]
Effect4.Machine.Cmd.resume.injEq	[propext]
Effect4.Machine.Cmd.resume.sizeOf_spec	[]
Effect4.Machine.Cmd.trackChild.inj	[]
Effect4.Machine.Cmd.trackChild.injEq	[propext]
Effect4.Machine.Cmd.trackChild.sizeOf_spec	[]
Effect4.Machine.Cmd.wake.inj	[]
Effect4.Machine.Cmd.wake.injEq	[propext]
Effect4.Machine.Cmd.wake.sizeOf_spec	[]
Effect4.Machine.Completion.keys.eq_1	[propext]
Effect4.Machine.Completion.keys.eq_2	[propext]
Effect4.Machine.Ctx.keys_eq_handleKeys	[propext]
Effect4.Machine.Ctx.keys_provide	[propext, Quot.sound]
Effect4.Machine.Ctx.keys_withScope	[propext, Quot.sound]
Effect4.Machine.Ctx.keys_withServices	[propext]
Effect4.Machine.Ctx.scope_mem_keys	[propext, Quot.sound]
Effect4.Machine.DeferredCell.keys.eq_1	[propext]
Effect4.Machine.DeferredCell.keys_wake	[propext]
Effect4.Machine.DeferredStore.cancel_keys	[propext, Quot.sound]
Effect4.Machine.DeferredStore.cancel_keys._simp_1_2	[propext]
Effect4.Machine.DeferredStore.cellAt_keys_subset	[propext, Quot.sound]
Effect4.Machine.DeferredStore.complete_cells_le	[propext, Quot.sound]
Effect4.Machine.DeferredStore.complete_keys	[propext, Quot.sound]
Effect4.Machine.DeferredStore.complete_keys_subset	[propext, Quot.sound]
Effect4.Machine.DeferredStore.drainDue_keys	[propext]
Effect4.Machine.DeferredStore.keys.eq_1	[propext]
Effect4.Machine.DeferredStore.register_answer_keys	[propext, Quot.sound]
Effect4.Machine.DeferredStore.register_cells_le	[propext, Quot.sound]
Effect4.Machine.DeferredStore.register_keys	[propext, Quot.sound]
Effect4.Machine.DeferredStore.register_keys_subset	[propext, Quot.sound]
Effect4.Machine.DeferredStore.setCell_appendDue_keys	[propext, Quot.sound]
Effect4.Machine.DeferredStore.setCell_keys_of_subset	[propext, Quot.sound]
Effect4.Machine.DeferredStore.setCell_keys_subset	[propext, Quot.sound]
Effect4.Machine.DeferredStore.setCell_keys_subset._simp_1_1	[propext]
Effect4.Machine.DeferredStore.setCell_le	[propext]
Effect4.Machine.DeferredStore.wakeBatch_keys	[propext, Quot.sound]
Effect4.Machine.DeferredStore.wakeBatch_keys._simp_1_2	[propext]
Effect4.Machine.Dispatcher.drain.eq_1	[]
Effect4.Machine.Dispatcher.empty.eq_1	[]
Effect4.Machine.Dispatcher.insert_keys_subset	[propext, Quot.sound]
Effect4.Machine.Dispatcher.insert_keys_subset._simp_1_103	[propext]
Effect4.Machine.Dispatcher.insert_keys_subset._simp_1_104	[propext]
Effect4.Machine.Dispatcher.insert_keys_subset._simp_1_105	[propext]
Effect4.Machine.Dispatcher.insert_keys_subset._simp_1_106	[propext]
Effect4.Machine.Dispatcher.insert_keys_subset._simp_1_107	[propext]
Effect4.Machine.Dispatcher.insert_keys_subset._simp_1_108	[propext]
Effect4.Machine.Dispatcher.keys.eq_1	[propext]
Effect4.Machine.Dispatcher.keys_empty	[propext]
Effect4.Machine.Dispatcher.keys_enqueue_subset	[propext, Quot.sound]
Effect4.Machine.Dispatcher.mk.inj	[]
Effect4.Machine.Dispatcher.mk.injEq	[propext]
Effect4.Machine.Dispatcher.mk.sizeOf_spec	[]
Effect4.Machine.Env.Context.getV_keys	[propext, Quot.sound]
Effect4.Machine.Env.Context.handleKeys_add	[propext, Quot.sound]
Effect4.Machine.Env.Context.handleKeys_addV	[propext, Quot.sound]
Effect4.Machine.Env.Context.handleKeys_empty	[propext]
Effect4.Machine.Env.Context.handleKeys_foldl_merge	[propext, Quot.sound]
